 zip_code,lat,lng
35243,33.436451,-86.758614
35023,33.469711,-87.159713
35126,33.69015,-86.681847
35023,33.437053,-86.987051
35127,33.49048,-86.972633
35071,33.69081,-86.814553
35180,33.811192,-86.806666
35130,33.653398,-87.073624
35023,33.468089,-87.163049
35210,33.531718,-86.654116
35126,33.752948,-86.698571
35242,33.483722,-86.659665
35233,33.50514,-86.803543
35005,33.576409,-86.927633
35023,33.4621,-86.9945
35091,33.779696,-86.804634
35111,33.28946,-87.0481
35180,33.800811,-86.941579
35215,33.644567,-86.698929
35586,33.898265,-88.129762
35592,33.750713,-88.125696
35576,33.562124,-88.037365
36863,32.85676,-85.197014
35645,34.860746,-87.442499
35610,34.924601,-87.267195
35633,34.897911,-87.796862
35652,34.901142,-87.248922
35632,34.805488,-87.680963
35648,34.86374,-87.45349
35634,34.962385,-87.522059
35633,34.872437,-87.69538
35677,34.917953,-88.062921
35634,34.927063,-87.670288
35645,34.863823,-87.529858
35618,34.681468,-87.30955
35650,34.478136,-87.296463
35673,34.567463,-87.173132
35672,34.562293,-87.417701
35650,34.475617,-87.298443
35651,34.446548,-87.482851
35619,34.418291,-87.168604
35605,34.476756,-87.296973
35618,34.670192,-87.312056
36804,32.549478,-85.373068
36854,32.713768,-85.188847
36865,32.590001,-85.578923
36877,32.537233,-85.098991
36804,32.547082,-85.369487
36865,32.600075,-85.58291
36874,32.597329,-85.223593
35739,34.987873,-86.847616
35611,34.801958,-87.18379
35613,34.782983,-86.833435
35614,34.855198,-87.045978
35671,34.732871,-86.97408
35647,34.939907,-87.123465
35611,34.776882,-86.96248
35749,34.790095,-86.797195
35620,34.931246,-86.969221
35739,34.9782,-86.821002
36748,32.299099,-87.788929
36047,32.101172,-86.585874
36040,32.178697,-86.671803
36032,31.99079,-86.58228
36866,32.56069,-85.656669
36088,32.431781,-85.718411
36083,32.421337,-85.687176
36075,32.402923,-85.906205
35750,34.934327,-86.570622
35748,34.73755,-86.431975
35806,34.791431,-86.715369
35760,34.53983,-86.400985
35749,34.848411,-86.749138
35748,34.702239,-86.375535
35773,34.922183,-86.712795
35760,34.540254,-86.4038
35761,34.909701,-86.425439
35763,34.588537,-86.45601
35811,34.7855,-86.522952
35759,34.888981,-86.519805
35757,34.795129,-86.743649
36783,32.279506,-87.632264
36732,32.492941,-87.849236
36736,32.05074,-87.80225
36782,32.097794,-87.865686
36748,32.305,-87.79683
35548,34.027967,-87.761657
35563,33.973674,-87.915115
35564,34.280815,-87.832652
